project_id,project_name,project_type,state,district,total_parcels,total_land_area_acres,total_affected_families,planned_completion_date,avg_historical_delay_rate,centroid_latitude,centroid_longitude,geom_wkt
PRJ-1001,Gujarat Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Gujarat,Ahmedabad,4,382.91,557,2025-10-26,0.425,22.414854,70.523124,SRID=4326;POINT(70.523124 22.414854)
PRJ-1002,Suburban Commuter Rapid Transit Line 1,Urban Metro / Transit,Madhya Pradesh,Bhopal,12,525.87,1445,2023-09-07,0.405,23.961613,77.405559,SRID=4326;POINT(77.405559 23.961613)
PRJ-1003,Gurugram Metro Rail Extension Corridor 5,Urban Metro / Transit,Haryana,Gurugram,4,118.83,417,2024-05-29,0.47,29.746903,76.219909,SRID=4326;POINT(76.219909 29.746903)
PRJ-1004,Maharashtra Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Maharashtra,Nagpur,11,438.18,618,2024-04-03,0.476,19.455995,77.176796,SRID=4326;POINT(77.176796 19.455995)
PRJ-1005,Ahmedabad Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Gujarat,Ahmedabad,21,708.4,819,2025-05-08,0.412,22.323739,70.930697,SRID=4326;POINT(70.930697 22.323739)
PRJ-1006,Bhopal Multi-Modal Logistics Park 5,Industrial Corridor / SEZ,Madhya Pradesh,Bhopal,13,420.11,638,2026-09-27,0.384,24.262155,78.786479,SRID=4326;POINT(78.786479 24.262155)
PRJ-1007,Ahmedabad Lift Irrigation Main Canal Reach 3,Irrigation / Water Canal,Gujarat,Ahmedabad,14,880.51,1263,2023-11-24,0.476,22.591536,70.775313,SRID=4326;POINT(70.775313 22.591536)
PRJ-1008,Western Freight Corridor Spur Line 3,Railway & Freight Corridor,Rajasthan,Udaipur,12,599.28,807,2026-10-15,0.45,25.626848,72.387505,SRID=4326;POINT(72.387505 25.626848)
PRJ-1009,Kutch Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Gujarat,Kutch,6,306.51,506,2024-05-15,0.401,22.099618,72.008212,SRID=4326;POINT(72.008212 22.099618)
PRJ-1010,Madhya Pradesh Inter-River Linking Canal Sector 1,Irrigation / Water Canal,Madhya Pradesh,Indore,8,337.87,534,2023-03-14,0.347,24.330714,78.6236,SRID=4326;POINT(78.6236 24.330714)
PRJ-1011,Urban Flyover & Transit Hub 3,Urban Metro / Transit,Gujarat,Surat,9,643.88,1897,2026-11-02,0.392,22.461335,71.49858,SRID=4326;POINT(71.49858 22.461335)
PRJ-1012,Uttar Pradesh Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Uttar Pradesh,Noida,12,698.11,955,2026-03-01,0.441,27.141478,81.473842,SRID=4326;POINT(81.473842 27.141478)
PRJ-1013,Karnal Ultra Mega Solar Park Unit 2,Renewable / Solar Park,Haryana,Karnal,7,221.08,234,2025-04-13,0.467,29.489552,76.491227,SRID=4326;POINT(76.491227 29.489552)
PRJ-1014,Surat Lift Irrigation Main Canal Reach 4,Irrigation / Water Canal,Gujarat,Surat,5,196.94,242,2024-03-14,0.505,22.457559,71.900875,SRID=4326;POINT(71.900875 22.457559)
PRJ-1015,Wind-Solar Hybrid Energy Grid 1,Renewable / Solar Park,Rajasthan,Alwar,13,635.11,776,2025-03-04,0.391,26.551995,74.302644,SRID=4326;POINT(74.302644 26.551995)
PRJ-1016,Western Freight Corridor Spur Line 1,Railway & Freight Corridor,Tamil Nadu,Tiruchirappalli,9,601.64,864,2025-06-05,0.372,11.83785,79.368129,SRID=4326;POINT(79.368129 11.83785)
PRJ-1017,Madurai Metro Rail Extension Corridor 2,Urban Metro / Transit,Tamil Nadu,Madurai,12,450.01,1134,2025-03-21,0.457,10.944904,78.369537,SRID=4326;POINT(78.369537 10.944904)
PRJ-1018,Maharashtra Clean Energy Hub Sector 1,Renewable / Solar Park,Maharashtra,Aurangabad,10,523.22,669,2024-07-05,0.452,19.527162,77.070203,SRID=4326;POINT(77.070203 19.527162)
PRJ-1019,Karnataka Green Express Corridor Phase 4,Highway / Expressway,Karnataka,Kalaburagi,8,307.96,341,2024-07-20,0.474,14.228393,75.650125,SRID=4326;POINT(75.650125 14.228393)
PRJ-1020,Wind-Solar Hybrid Energy Grid 5,Renewable / Solar Park,Madhya Pradesh,Indore,8,433.74,637,2025-08-31,0.417,24.228613,79.673287,SRID=4326;POINT(79.673287 24.228613)
PRJ-1021,Karnataka Integrated Industrial Township 3,Industrial Corridor / SEZ,Karnataka,Belagavi,10,684.12,951,2025-09-25,0.504,15.271877,76.241898,SRID=4326;POINT(76.241898 15.271877)
PRJ-1022,Bharatmala Economic Highway Ring 5,Highway / Expressway,Gujarat,Vadodara,9,302.19,375,2024-12-27,0.419,22.791321,71.532117,SRID=4326;POINT(71.532117 22.791321)
PRJ-1023,Maharashtra Green Express Corridor Phase 3,Highway / Expressway,Maharashtra,Nagpur,4,230.45,329,2024-09-30,0.262,19.605441,76.117696,SRID=4326;POINT(76.117696 19.605441)
PRJ-1024,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,18,723.59,787,2026-08-23,0.437,14.901209,76.575102,SRID=4326;POINT(76.575102 14.901209)
PRJ-1025,Odisha Green Express Corridor Phase 4,Highway / Expressway,Odisha,Sundargarh,8,409.88,563,2025-09-08,0.398,20.702212,84.955948,SRID=4326;POINT(84.955948 20.702212)
PRJ-1026,Gujarat Integrated Industrial Township 3,Industrial Corridor / SEZ,Gujarat,Ahmedabad,9,322.29,509,2024-10-07,0.43,22.288513,71.71464,SRID=4326;POINT(71.71464 22.288513)
PRJ-1027,Jodhpur Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Rajasthan,Jodhpur,8,287.77,321,2024-08-31,0.473,25.846876,72.944737,SRID=4326;POINT(72.944737 25.846876)
PRJ-1028,Command Area Distribution Network 1,Irrigation / Water Canal,Gujarat,Ahmedabad,11,452.47,702,2024-07-23,0.402,22.06334,71.348767,SRID=4326;POINT(71.348767 22.06334)
PRJ-1029,Jodhpur Cargo Terminal Expansion 1,Airport Infrastructure,Rajasthan,Jodhpur,8,424.36,1065,2025-10-10,0.505,25.847693,74.3578,SRID=4326;POINT(74.3578 25.847693)
PRJ-1030,Rajasthan Integrated Industrial Township 5,Industrial Corridor / SEZ,Rajasthan,Udaipur,9,621.59,677,2023-11-18,0.473,25.834194,74.719766,SRID=4326;POINT(74.719766 25.834194)
PRJ-1031,Command Area Distribution Network 1,Irrigation / Water Canal,Maharashtra,Aurangabad,6,276.44,258,2023-05-22,0.5,19.360675,78.349916,SRID=4326;POINT(78.349916 19.360675)
PRJ-1032,Madhya Pradesh Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Madhya Pradesh,Ujjain,8,431.98,537,2023-04-30,0.47,24.086877,78.455312,SRID=4326;POINT(78.455312 24.086877)
PRJ-1033,Bharatmala Economic Highway Ring 2,Highway / Expressway,Karnataka,Dharwad,14,634.61,853,2023-12-06,0.402,14.632219,76.624612,SRID=4326;POINT(76.624612 14.632219)
PRJ-1034,Suburban Commuter Rapid Transit Line 3,Urban Metro / Transit,Haryana,Hisar,11,466.46,1264,2025-05-18,0.391,29.224053,76.383151,SRID=4326;POINT(76.383151 29.224053)
PRJ-1035,Uttar Pradesh Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Uttar Pradesh,Prayagraj,11,310.2,423,2023-10-13,0.402,26.679003,80.738214,SRID=4326;POINT(80.738214 26.679003)
PRJ-1036,Bharatmala Economic Highway Ring 2,Highway / Expressway,Haryana,Gurugram,6,225.36,282,2024-05-20,0.536,29.040851,76.602028,SRID=4326;POINT(76.602028 29.040851)
PRJ-1037,Belagavi Ultra Mega Solar Park Unit 4,Renewable / Solar Park,Karnataka,Belagavi,7,258.88,373,2026-08-25,0.367,15.302191,75.655113,SRID=4326;POINT(75.655113 15.302191)
PRJ-1038,Command Area Distribution Network 3,Irrigation / Water Canal,Madhya Pradesh,Bhopal,11,379.71,438,2023-08-21,0.405,23.917,77.519625,SRID=4326;POINT(77.519625 23.917)
PRJ-1039,Madhya Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Madhya Pradesh,Indore,8,316.83,494,2026-01-30,0.42,24.444998,79.059377,SRID=4326;POINT(79.059377 24.444998)
PRJ-1040,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Tamil Nadu,Madurai,19,702.4,885,2025-05-05,0.41,10.990451,79.170528,SRID=4326;POINT(79.170528 10.990451)
PRJ-1041,Andhra Pradesh Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Andhra Pradesh,Krishna,12,402.93,472,2025-12-24,0.368,17.167215,80.331642,SRID=4326;POINT(80.331642 17.167215)
PRJ-1042,Industrial Rail Siding Network 1,Railway & Freight Corridor,Gujarat,Bharuch,13,669.54,950,2023-08-16,0.432,22.556204,71.485184,SRID=4326;POINT(71.485184 22.556204)
PRJ-1043,Salem Greenfield International Airport Phase 3,Airport Infrastructure,Tamil Nadu,Salem,5,165.4,346,2024-10-31,0.453,11.032067,78.52445,SRID=4326;POINT(78.52445 11.032067)
PRJ-1044,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,8,335.42,1059,2023-04-08,0.508,24.497435,78.662877,SRID=4326;POINT(78.662877 24.497435)
PRJ-1045,Uttar Pradesh Clean Energy Hub Sector 2,Renewable / Solar Park,Uttar Pradesh,Prayagraj,13,640.99,890,2024-12-29,0.426,26.531121,81.285576,SRID=4326;POINT(81.285576 26.531121)
PRJ-1046,Maharashtra Dedicated High-Speed Rail Segment 4,Railway & Freight Corridor,Maharashtra,Nashik,6,239.85,221,2024-05-01,0.4,19.654661,75.31358,SRID=4326;POINT(75.31358 19.654661)
PRJ-1047,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Dharwad,9,321.8,308,2025-12-30,0.432,15.277558,76.088713,SRID=4326;POINT(76.088713 15.277558)
PRJ-1048,Madhya Pradesh Green Express Corridor Phase 3,Highway / Expressway,Madhya Pradesh,Gwalior,6,219.49,356,2025-09-05,0.342,23.601096,78.088,SRID=4326;POINT(78.088 23.601096)
PRJ-1049,Odisha Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Odisha,Angul,9,435.78,537,2023-01-29,0.408,20.991668,84.921407,SRID=4326;POINT(84.921407 20.991668)
PRJ-1050,Tamil Nadu Inter-River Linking Canal Sector 1,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,10,410.86,548,2023-08-24,0.34,11.417261,78.378378,SRID=4326;POINT(78.378378 11.417261)
PRJ-1051,Wind-Solar Hybrid Energy Grid 1,Renewable / Solar Park,Andhra Pradesh,Kurnool,7,268.59,433,2025-10-13,0.417,16.150592,80.329385,SRID=4326;POINT(80.329385 16.150592)
PRJ-1052,Angul Metro Rail Extension Corridor 2,Urban Metro / Transit,Odisha,Angul,10,331.32,927,2026-05-21,0.556,20.869729,85.56986,SRID=4326;POINT(85.56986 20.869729)
PRJ-1053,Haryana Clean Energy Hub Sector 5,Renewable / Solar Park,Haryana,Hisar,9,488.9,483,2025-07-20,0.458,28.675452,76.611449,SRID=4326;POINT(76.611449 28.675452)
PRJ-1054,Haryana Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Haryana,Hisar,4,175.4,226,2027-04-14,0.403,28.957397,76.935642,SRID=4326;POINT(76.935642 28.957397)
PRJ-1055,Jodhpur Lift Irrigation Main Canal Reach 3,Irrigation / Water Canal,Rajasthan,Jodhpur,9,444.83,684,2024-10-24,0.366,26.404713,73.984531,SRID=4326;POINT(73.984531 26.404713)
PRJ-1056,Coimbatore Greenfield International Airport Phase 2,Airport Infrastructure,Tamil Nadu,Coimbatore,8,490.27,1264,2024-01-01,0.539,10.81953,78.484414,SRID=4326;POINT(78.484414 10.81953)
PRJ-1057,Gujarat Integrated Industrial Township 5,Industrial Corridor / SEZ,Gujarat,Rajkot,5,174.1,238,2026-04-19,0.505,22.546588,71.03428,SRID=4326;POINT(71.03428 22.546588)
PRJ-1058,Prayagraj Lift Irrigation Main Canal Reach 1,Irrigation / Water Canal,Uttar Pradesh,Prayagraj,11,297.33,403,2025-03-07,0.458,27.039964,81.003753,SRID=4326;POINT(81.003753 27.039964)
PRJ-1059,Bharatmala Economic Highway Ring 2,Highway / Expressway,Madhya Pradesh,Jabalpur,9,393.6,529,2026-07-14,0.386,23.769007,78.315336,SRID=4326;POINT(78.315336 23.769007)
PRJ-1060,Suburban Commuter Rapid Transit Line 4,Urban Metro / Transit,Madhya Pradesh,Ujjain,6,100.59,268,2026-02-24,0.445,24.229916,79.338584,SRID=4326;POINT(79.338584 24.229916)
PRJ-1061,Kota Ultra Mega Solar Park Unit 3,Renewable / Solar Park,Rajasthan,Kota,15,490.07,650,2026-08-16,0.45,25.595345,74.475827,SRID=4326;POINT(74.475827 25.595345)
PRJ-1062,Rajasthan Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Rajasthan,Jaipur,7,258.82,387,2024-09-07,0.468,26.455102,74.514616,SRID=4326;POINT(74.514616 26.455102)
PRJ-1063,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Uttar Pradesh,Varanasi,8,380.07,509,2023-06-17,0.365,26.401372,81.059757,SRID=4326;POINT(81.059757 26.401372)
PRJ-1064,Jabalpur Multi-Modal Logistics Park 2,Industrial Corridor / SEZ,Madhya Pradesh,Jabalpur,11,589.31,744,2025-11-12,0.449,24.526328,78.29779,SRID=4326;POINT(78.29779 24.526328)
PRJ-1065,Karnal Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Haryana,Karnal,11,642.05,793,2027-01-28,0.509,29.218613,76.829681,SRID=4326;POINT(76.829681 29.218613)
PRJ-1066,Faridabad Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Haryana,Faridabad,11,590.44,683,2025-12-22,0.396,29.139256,76.527749,SRID=4326;POINT(76.527749 29.139256)
PRJ-1067,Sundargarh Cargo Terminal Expansion 2,Airport Infrastructure,Odisha,Sundargarh,11,546.54,1305,2024-02-16,0.378,20.635043,85.453712,SRID=4326;POINT(85.453712 20.635043)
PRJ-1068,Maharashtra Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Maharashtra,Pune,11,539.67,584,2024-02-01,0.36,19.500275,76.85229,SRID=4326;POINT(76.85229 19.500275)
PRJ-1069,DMIC Special Investment Region Node 3,Industrial Corridor / SEZ,Andhra Pradesh,Krishna,8,402.4,558,2024-09-29,0.515,16.473081,80.346633,SRID=4326;POINT(80.346633 16.473081)
PRJ-1070,Command Area Distribution Network 1,Irrigation / Water Canal,Rajasthan,Jaipur,18,674.27,930,2025-08-31,0.452,25.854107,74.807173,SRID=4326;POINT(74.807173 25.854107)
PRJ-1071,Maharashtra Dedicated High-Speed Rail Segment 1,Railway & Freight Corridor,Maharashtra,Pune,8,357.53,349,2024-08-01,0.336,19.788824,75.770317,SRID=4326;POINT(75.770317 19.788824)
PRJ-1072,Western Freight Corridor Spur Line 3,Railway & Freight Corridor,Gujarat,Kutch,10,422.47,606,2024-02-14,0.317,22.343218,71.324321,SRID=4326;POINT(71.324321 22.343218)
PRJ-1073,Bharatmala Economic Highway Ring 1,Highway / Expressway,Uttar Pradesh,Noida,12,539.42,655,2026-02-11,0.504,27.01162,80.368051,SRID=4326;POINT(80.368051 27.01162)
PRJ-1074,Command Area Distribution Network 2,Irrigation / Water Canal,Gujarat,Kutch,10,353.88,511,2025-03-22,0.441,22.650221,71.55187,SRID=4326;POINT(71.55187 22.650221)
PRJ-1075,Wind-Solar Hybrid Energy Grid 4,Renewable / Solar Park,Haryana,Gurugram,12,643.2,915,2023-09-05,0.52,29.144146,76.720083,SRID=4326;POINT(76.720083 29.144146)
PRJ-1076,Nashik Cargo Terminal Expansion 1,Airport Infrastructure,Maharashtra,Nashik,10,325.36,964,2026-03-11,0.413,19.976171,77.472287,SRID=4326;POINT(77.472287 19.976171)
PRJ-1077,Industrial Rail Siding Network 5,Railway & Freight Corridor,Uttar Pradesh,Kanpur,14,535.66,676,2027-04-12,0.417,26.31278,80.623648,SRID=4326;POINT(80.623648 26.31278)
PRJ-1078,Salem Greenfield International Airport Phase 1,Airport Infrastructure,Tamil Nadu,Salem,13,349.32,927,2026-08-13,0.451,11.468657,78.058205,SRID=4326;POINT(78.058205 11.468657)
PRJ-1079,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Hisar,11,400.7,552,2026-10-18,0.427,29.138766,76.457098,SRID=4326;POINT(76.457098 29.138766)
PRJ-1080,Belagavi Cargo Terminal Expansion 3,Airport Infrastructure,Karnataka,Belagavi,10,584.17,1820,2026-02-11,0.542,14.992931,76.443552,SRID=4326;POINT(76.443552 14.992931)
PRJ-1081,Industrial Rail Siding Network 4,Railway & Freight Corridor,Karnataka,Bengaluru Rural,12,540.56,797,2025-10-07,0.484,14.099558,75.550966,SRID=4326;POINT(75.550966 14.099558)
PRJ-1082,Kota Greenfield International Airport Phase 1,Airport Infrastructure,Rajasthan,Kota,10,825.79,2116,2024-03-28,0.444,26.070551,74.570859,SRID=4326;POINT(74.570859 26.070551)
PRJ-1083,Tamil Nadu Clean Energy Hub Sector 5,Renewable / Solar Park,Tamil Nadu,Madurai,9,453.17,644,2026-02-06,0.36,11.496014,78.231662,SRID=4326;POINT(78.231662 11.496014)
PRJ-1084,Andhra Pradesh Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Andhra Pradesh,Guntur,10,472.88,636,2024-10-17,0.353,16.138376,80.400025,SRID=4326;POINT(80.400025 16.138376)
PRJ-1085,Command Area Distribution Network 2,Irrigation / Water Canal,Andhra Pradesh,Visakhapatnam,6,349.13,524,2024-09-24,0.494,16.258928,80.682797,SRID=4326;POINT(80.682797 16.258928)
PRJ-1086,Suburban Commuter Rapid Transit Line 1,Urban Metro / Transit,Haryana,Hisar,8,365.83,948,2024-10-11,0.383,29.026351,76.511486,SRID=4326;POINT(76.511486 29.026351)
PRJ-1087,Command Area Distribution Network 2,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,3,119.55,183,2022-11-13,0.414,11.738506,78.565187,SRID=4326;POINT(78.565187 11.738506)
PRJ-1088,Prayagraj Cargo Terminal Expansion 1,Airport Infrastructure,Uttar Pradesh,Prayagraj,15,725.43,1869,2025-11-09,0.371,26.706058,80.384005,SRID=4326;POINT(80.384005 26.706058)
PRJ-1089,NH-34 Four-Laning Bypass Section 4,Highway / Expressway,Andhra Pradesh,Krishna,11,597.37,664,2022-09-29,0.398,16.17731,79.745696,SRID=4326;POINT(79.745696 16.17731)
PRJ-1090,Haryana Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Haryana,Gurugram,3,97.17,121,2023-10-27,0.607,28.802577,76.326875,SRID=4326;POINT(76.326875 28.802577)
PRJ-1091,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Odisha,Cuttack,8,358.26,1007,2026-06-15,0.512,20.802568,85.294811,SRID=4326;POINT(85.294811 20.802568)
PRJ-1092,Wind-Solar Hybrid Energy Grid 5,Renewable / Solar Park,Haryana,Karnal,6,103.35,93,2022-11-23,0.501,29.569888,76.447862,SRID=4326;POINT(76.447862 29.569888)
PRJ-1093,Tamil Nadu Dedicated High-Speed Rail Segment 2,Railway & Freight Corridor,Tamil Nadu,Kanchipuram,10,216.77,216,2023-04-23,0.433,11.201338,78.459744,SRID=4326;POINT(78.459744 11.201338)
PRJ-1094,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Rajasthan,Alwar,7,208.25,317,2026-11-28,0.514,26.420885,74.102687,SRID=4326;POINT(74.102687 26.420885)
PRJ-1095,Jaipur Lift Irrigation Main Canal Reach 3,Irrigation / Water Canal,Rajasthan,Jaipur,8,314.51,269,2025-01-11,0.443,25.97203,74.289939,SRID=4326;POINT(74.289939 25.97203)
PRJ-1096,Mysuru Ultra Mega Solar Park Unit 1,Renewable / Solar Park,Karnataka,Mysuru,7,323.45,371,2024-12-22,0.531,15.220664,75.979506,SRID=4326;POINT(75.979506 15.220664)
PRJ-1097,NH-71 Four-Laning Bypass Section 3,Highway / Expressway,Tamil Nadu,Tiruchirappalli,9,397.17,439,2026-02-04,0.423,11.883698,78.397422,SRID=4326;POINT(78.397422 11.883698)
PRJ-1098,Jaipur Metro Rail Extension Corridor 4,Urban Metro / Transit,Rajasthan,Jaipur,8,519.07,1788,2024-08-24,0.409,25.530918,73.80365,SRID=4326;POINT(73.80365 25.530918)
PRJ-1099,Bharatmala Economic Highway Ring 3,Highway / Expressway,Haryana,Hisar,12,656.19,897,2023-08-29,0.44,29.271529,76.516258,SRID=4326;POINT(76.516258 29.271529)
PRJ-1100,Industrial Rail Siding Network 4,Railway & Freight Corridor,Rajasthan,Udaipur,11,706.5,925,2023-10-04,0.516,26.147248,73.752435,SRID=4326;POINT(73.752435 26.147248)
PRJ-1101,Guntur Lift Irrigation Main Canal Reach 2,Irrigation / Water Canal,Andhra Pradesh,Guntur,7,147.76,192,2026-10-07,0.441,16.80658,81.143228,SRID=4326;POINT(81.143228 16.80658)
PRJ-1102,NH-60 Four-Laning Bypass Section 1,Highway / Expressway,Odisha,Cuttack,12,394.08,498,2025-07-21,0.452,20.697874,85.116243,SRID=4326;POINT(85.116243 20.697874)
PRJ-1103,Command Area Distribution Network 4,Irrigation / Water Canal,Madhya Pradesh,Bhopal,13,621.75,963,2023-04-22,0.404,23.972935,77.989454,SRID=4326;POINT(77.989454 23.972935)
PRJ-1104,Haryana Inter-River Linking Canal Sector 1,Irrigation / Water Canal,Haryana,Karnal,9,309.96,341,2025-06-25,0.425,29.190617,76.386177,SRID=4326;POINT(76.386177 29.190617)
PRJ-1105,Rajasthan Green Express Corridor Phase 5,Highway / Expressway,Rajasthan,Kota,8,321.67,423,2023-06-01,0.314,25.526715,73.170665,SRID=4326;POINT(73.170665 25.526715)
