project_id,parcel_id,project_name,project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,compensation_pending_days,notification_status,approval_status,approval_processing_days,rehabilitation_progress,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,planned_completion_date,actual_completion_date,delay_days,delay_status,latitude,longitude,geom_wkt,legal_dispute_bool
PRJ-1047,PCL-10001,Karnataka Clean Energy Hub Sector 1,Renewable / Solar Park,Karnataka,Dharwad,49.27,35,Low,0.56,0,Partially Disbursed,108,Preliminary Notification (Sec 11),Approved,66,0.61,Partial Possession (30-70%),High / Cooperative,63,0.536,2025-12-30,2026-01-03,4,0,16.954558,75.975545,SRID=4326;POINT(75.975545 16.954558),False
PRJ-1024,PCL-10002,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,42.58,51,Low,0.66,0,Partially Disbursed,103,Possession Taken (Sec 38),Approved,20,0.73,Full Possession,Low / Resistant,196,0.491,2026-08-23,2027-02-10,171,1,14.626117,76.791232,SRID=4326;POINT(76.791232 14.626117),False
PRJ-1216,PCL-10003,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Gujarat,Kutch,39.14,33,High,0.52,1,Disputed in Escrow,627,Notification Pending,Approved,32,0.49,Contested / Encroached,Moderate,239,0.504,2025-11-26,2027-01-07,407,1,22.135937,72.971868,SRID=4326;POINT(72.971868 22.135937),True
PRJ-1202,PCL-10004,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,24.34,17,Low,0.69,0,Partially Disbursed,169,Possession Taken (Sec 38),Under Scrutiny,163,0.73,Partial Possession (30-70%),High / Cooperative,175,0.572,2024-12-08,2025-07-12,216,1,16.376907,81.616505,SRID=4326;POINT(81.616505 16.376907),False
PRJ-1142,PCL-10005,Madhya Pradesh Integrated Industrial Township 1,Industrial Corridor / SEZ,Madhya Pradesh,Gwalior,31.26,60,Low,0.83,0,Pending Disbursal,98,Declaration Published (Sec 19),Approved,33,0.9,Full Possession,Moderate,335,0.257,2027-06-16,2027-09-15,91,1,22.879314,80.651332,SRID=4326;POINT(80.651332 22.879314),False
PRJ-1025,PCL-10006,Odisha Green Express Corridor Phase 4,Highway / Expressway,Odisha,Sundargarh,22.17,34,Medium,0.55,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,56,0.96,Initial Stage (<30%),Moderate,239,0.481,2025-09-08,2025-09-16,8,0,20.186309,84.169439,SRID=4326;POINT(84.169439 20.186309),False
PRJ-1165,PCL-10007,Kutch Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Gujarat,Kutch,29.11,60,Medium,0.83,0,Partially Disbursed,74,Possession Taken (Sec 38),Under Scrutiny,248,0.52,Full Possession,High / Cooperative,307,0.142,2025-04-02,2025-09-25,176,1,21.737022,72.905537,SRID=4326;POINT(72.905537 21.737022),False
PRJ-1196,PCL-10008,Aviation Logistics Runway Package 2,Airport Infrastructure,Madhya Pradesh,Gwalior,16.0,53,Low,0.71,0,Partially Disbursed,87,Award Declared (Sec 23),Pending Environmental Clearance,87,0.52,Full Possession,High / Cooperative,132,0.259,2026-03-24,,18,0,25.50754,77.089901,SRID=4326;POINT(77.089901 25.50754),False
PRJ-1212,PCL-10009,NH-93 Four-Laning Bypass Section 5,Highway / Expressway,Karnataka,Dharwad,63.49,43,Low,0.55,0,Pending Disbursal,279,Preliminary Notification (Sec 11),Under Scrutiny,161,0.57,Contested / Encroached,High / Cooperative,234,0.367,2026-03-12,2026-11-10,243,1,17.292152,76.333318,SRID=4326;POINT(76.333318 17.292152),False
PRJ-1021,PCL-10010,Karnataka Integrated Industrial Township 3,Industrial Corridor / SEZ,Karnataka,Belagavi,48.38,71,Medium,0.86,0,Pending Disbursal,260,Award Declared (Sec 23),Resubmission Required,140,0.35,Full Possession,Moderate,189,0.211,2025-09-25,2025-11-18,54,0,16.83074,75.152123,SRID=4326;POINT(75.152123 16.83074),False
